1;1;Bufo;Test 1-1
1;2;Bufo;Test 1-2
2;1;Aliron;Hola
2;1;Aliron;Soy Alirón
2;1;Aliron;Brum brum
2;2;NPC 1;Socorro mi casa
2;2;NPC 1;Se hunde
2;3;Bufo;Test 2-3
2;4;Bufo;Test 2-4 A
2;4;Bufo;Test 2-4 B
2;5;Bufo;Test 2-5
2;6;Bufo;Test 2-6 A
2;6;Bufo;Test 2-6 B
2;6;Bufo;Test 2-6 C
2;7;Bufo;Test 2-7
2;8;Bufo;Test 2-8 A
2;8;Bufo;Test 2-8 B
2;8;Bufo;Test 2-8 C
2;8;Bufo;Test 2-8 D
2;8;Bufo;Test 2-8 E
2;8;Bufo;Test 2-8 F
2;9;Bufo;Test 2-9 Pre
2;9;*;VirtualCamera3
2;9;Bufo;Test 2-9 In
2;9;*;Reset
2;9;Bufo;Test 2-9 Post
2;10;Bufo;Test 2-10
2;11;Bufo;Test 2-11
3;12;Bufo;Test 3-12
3;2;Bufo;Test 3-2
4;1;Bufo;Test 4-1
